"practice_code","practice_name","postcode","latitude","longitude","lad_code","number_of_patients","admin_non_clinical","direct_patient_care","gp","nurses","total_appointments","estimated_wait_time"
"A81036","Norton Medical Centre","TS20 2UZ","54.588737","-1.308737","E06000004",16328,"82","10","22","16","8284","7.58"
"A81634","The Arrival Practice","TS18 2EP","54.572112","-1.312593","E06000004",3255,"12","0","0","4","762","7.59"
"A81067","Alma Medical Centre","TS18 2BP","54.56949","-1.317648","E06000004",10999,"34","4","20","6","5233","6.21"
"A81002","Queens Park Medical Centre","TS18 2AW","54.569163","-1.31388","E06000004",18751,"68","12","26","16","7341","9.27"
"A81006","Tennant Street Medical Practice","TS18 2AT","54.568616","-1.313593","E06000004",14676,"48","10","22","14","7427","6.63"
"A81629","Riverside Medical Practice","TS18 2AP","54.56887","-1.315584","E06000004",7141,"14","2","4","6","3212","7.33"
"A81046","Woodlands Family Medical Centre","TS18 1YE","54.561215","-1.321204","E06000004",12350,"48","4","22","12","4467","5.92"
"A81001","The Densham Surgery","TS18 1HU","54.561625","-1.318986","E06000004",3891,"20","2","8","2","1017","5.48"
"A81025","The Dovecot Surgery","TS18 1HU","54.561625","-1.318986","E06000004",4092,"20","2","8","4","1469","6.94"
"A81608","Elm Tree Surgery","TS17 6PG","54.554873","-1.299647","E06000004",15505,"42","8","22","6","9027","4.24"
"A81017","Woodbridge Practice","TS17 0EE","54.538149","-1.292128","E06000004",18356,"54","6","26","14","5496","4.01"
"A81034","Thornaby & Barwick Medical Group","TS17 0EE","54.538149","-1.292128","E06000004",20879,"54","22","40","6","9856","4.89"
"A81027","Yarm Medical Practice","TS15 9DD","54.505085","-1.355828","E06000004",14487,"50","8","16","10","6275","8.02"
"A83031","Carmel Medical Practice","DL3 8SQ","54.527924","-1.579281","E06000005",11702,"32","4","12","12","4441","12.40"
"A83034","Blacketts Medical Practice","DL3 7JR","54.527221","-1.559007","E06000005",11450,"46","4","20","10","4778","9.38"
"A83006","Orchard Court Surgery","DL3 6HZ","54.532362","-1.566648","E06000005",8636,"28","8","10","4","4517","8.15"
"A83013","Neasham Road Surgery","DL1 4YL","54.517256","-1.542648","E06000005",13371,"36","12","10","16","4798","10.96"
"A83005","Whinfield Medical Practice","DL1 3RT","54.546309","-1.525297","E06000005",12150,"34","2","20","16","8636","9.06"
"A83048","Rockliffe Court Surgery","DL2 2DS","54.483444","-1.544074","E06000005",6225,"22","4","8","14","3398","4.45"
"A83047","Denmark Street Surgery","DL3 0PD","54.538825","-1.552252","E06000005",15079,"54","12","32","16","5141","12.77"
"A83641","Parkgate Surgery","DL1 5LW","54.523273","-1.548606","E06000005",4854,"18","2","4","8","2756","5.11"
"A83070","Middleton And Dinsdale Medical Practice","DL2 1BY","54.514806","-1.447921","E06000005",5898,"20","4","6","4","2195","10.22"
"A83040","Clifton Court Medical Practice","DL1 5JN","54.521149","-1.549565","E06000005",12275,"28","8","18","10","5240","8.31"
"A83010","Moorlands Surgery","DL3 9JP","54.534216","-1.577585","E06000005",13243,"34","6","18","18","6001","10.64"
"N81651","Upton Rocks Primary Care","WA8 7NU","53.373367","-2.754371","E06000006",3497,"12","2","0","0","1168","4.75"
"N81064","Newtown Surgery","WA8 7GD","53.362158","-2.735705","E06000006",6847,"24","0","10","4","2071","8.88"
"N81096","Brookvale Practice","WA7 2UT","53.324807","-2.696628","E06000006",8820,"24","4","26","4","3951","5.06"
"N81619","Oaks Place Surgery","WA8 7GD","53.362158","-2.735705","E06000006",3933,"16","2","2","6","1810","2.89"
"N81054","Weaver Vale Practice","WA7 2UT","53.324807","-2.696628","E06000006",8976,"28","2","22","4","3261","7.29"
"N81066","Grove House Practice","WA7 1AB","53.341171","-2.73246","E06000006",14675,"74","4","28","10","6216","6.66"
"N81057","Tower House Practice","WA7 1AB","53.341171","-2.73246","E06000006",13057,"62","6","12","6","3816","9.47"
"N81011","Bevan Group Practice","WA8 6TR","53.379727","-2.724553","E06000006",14584,"52","8","18","14","5714","9.01"
"N81045","Peelhouse Medical Plaza","WA8 6TN","53.372115","-2.72256","E06000006",13672,"58","8","10","18","5085","6.63"
"N81037","The Beeches Medical Ctr","WA8 8QS","53.363827","-2.766104","E06000006",8315,"26","4","12","8","4158","3.86"
"N81035","Fir Park Medical Centre","WA8 9DT","53.381573","-2.746037","E06000006",12207,"34","6","24","12","4557","6.40"
"N81119","Hough Green Health Park","WA8 4NJ","53.378469","-2.773192","E06000006",5199,"22","4","4","4","1630","4.30"
"N81072","Murdishaw","WA7 6ES","53.324209","-2.662792","E06000006",7902,"40","12","10","6","4213","6.91"
"N81019","Castlefields Health Centre","WA7 2ST","53.338823","-2.691795","E06000006",14968,"58","16","31","14","6137","9.21"
"N81637","Cockhedge Medical Centre","WA1 2QQ","53.390932","-2.589833","E06000007",2979,"10","0","2","2","881","3.94"
"N81075","Stockton Heath Med.Centre","WA4 6HJ","53.37195","-2.582161","E06000007",16386,"40","10","30","8","8886","4.50"
"N81028","Causeway Medical Centre","WA4 6QA","53.380496","-2.589492","E06000007",9303,"22","2","14","4","4791","4.23"
"N81056","Folly Lane Medical Centre","WA5 0LU","53.398135","-2.606866","E06000007",9849,"36","4","16","8","5775","3.83"
"N81122","Westbrook Medical Centre","WA5 8UF","53.408504","-2.632211","E06000007",10437,"34","2","16","8","4306","10.95"
"Y04925","Chapelford Primary Care Centre","WA5 3AL","53.396728","-2.637376","E06000007",8142,"22","2","8","6","2440","4.00"
"N81020","Penketh Health Centre","WA5 2EY","53.38656","-2.656033","E06000007",12418,"30","6","16","12","6729","4.32"
"N81012","Guardian Street Med/Ctr","WA5 1UD","53.391901","-2.606297","E06000007",12067,"36","2","32","4","5327","4.81"
"N81623","Stretton Medical Centre","WA4 4NE","53.339599","-2.576267","E06000007",9412,"26","2","4","2","2813","5.01"
"N81065","Latchford Medical Centre","WA4 1LJ","53.381001","-2.561658","E06000007",8258,"24","4","14","8","5557","4.80"
"N81114","Birchwood Medical Centre","WA3 7PJ","53.41548","-2.5265","E06000007",10951,"42","6","18","12","4992","8.62"
"N81059","Culcheth Medical Centre","WA3 4DZ","53.451645","-2.525547","E06000007",12551,"40","6","14","14","3948","9.16"
"N81083","Parkview Medical Centre","WA2 8HE","53.404594","-2.588307","E06000007",5078,"14","0","4","0","1917","5.50"
"N81645","4 Seasons Medical Centre","WA2 8HE","53.404594","-2.588307","E06000007",2323,"14","2","2","2","898","3.75"
"Y06620",NULL,"WA2 8HE","53.404594","-2.588307","E06000007",7,"0","0","0","0","0",NULL
"N81628","The Eric Moore Partnership","WA2 7NJ","53.393404","-2.59716","E06000007",12798,"46","25","16","12","8859","3.93"
"N81097","Dallam Lane Medical Centre","WA2 7NG","53.39281","-2.595513","E06000007",4475,"14","0","4","2","2118","4.26"
"N81109","Padgate Medical Centre","WA2 0RX","53.406509","-2.556188","E06000007",6942,"20","2","18","2","2244","6.87"
"N81048","Fearnhead Cross Med.Ctr.","WA2 0HD","53.411071","-2.559106","E06000007",13178,"44","8","20","8","5714","6.74"
"N81014","Brookfield Surgery","WA13 9DB","53.382305","-2.48123","E06000007",9388,"38","2","16","6","4843","5.65"
"N81108","The Lakeside Surgery","WA13 0QE","53.376873","-2.484115","E06000007",10827,"26","0","6","4","3646","4.41"
"N81007","Holes Lane Medical Ltd.","WA1 4NE","53.399828","-2.545107","E06000007",10186,"32","2","20","6","4676","5.55"
"N81089","Greenbank Surgery","WA1 3RB","53.396596","-2.571248","E06000007",8205,"24","2","10","8","2750","5.32"
"N81107","Manchester Road Surgery","WA1 3RB","53.396596","-2.571248","E06000007",3616,"18","0","6","0","996","5.07"
"Y01108","Fairfield Surgery","WA1 3RB","53.396596","-2.571248","E06000007",3817,"12","0","6","4","1511","6.08"
"N81041","Helsby Street Med/Ctr","WA1 3AW","53.39498","-2.576324","E06000007",8615,"30","10","22","4","3782","4.89"
"N81036","Springfields Medical Centre","WA1 1UG","53.389274","-2.597523","E06000007",8523,"20","4","12","8","3283","7.46"
"P81683","Olive Medical Centre","BB1 7EP","53.752309","-2.484193","E06000008",7740,"18","2","6","4","4165","2.41"
"P81005","Little Harwood Health Centre","BB1 6PH","53.758668","-2.467263","E06000008",12295,"22","2","18","6","4158","6.20"
"P81622","Shifa Surgery","BB1 6DY","53.757295","-2.475999","E06000008",11527,"28","6","4","4","5328","4.17"
"P81771","Primrose Bank Medical Centre","BB1 5ER","53.752542","-2.475521","E06000008",9471,"22","2","2","2","2954","7.23"
"P81125","Oakenhurst Medical Practice","BB2 1AX","53.750552","-2.486748","E06000008",10144,"30","6","18","2","3771","4.68"
"P81694","Family Practice","BB2 1AX","53.750552","-2.486748","E06000008",5393,"16","0","4","4","1097","2.54"
"P81214","Limefield Surgery","BB2 6PL","53.749882","-2.503894","E06000008",4723,"16","2","2","2","1433","3.83"
"P81167","Stepping Stone Practice","BB1 1XA","53.747582","-2.456646","E06000008",5919,"22","2","4","6","3242","4.05"
"P81724","Pringle Street Surgery","BB1 1SB","53.742039","-2.467594","E06000008",2721,"12","0","6","2","795","3.43"
"P81707","William Hopwood Street Surgery","BB1 1LX","53.746487","-2.464806","E06000008",5300,"22","2","6","2","2504","2.47"
"P81734","The Cornerstone Practice","BB1 2HR","53.739837","-2.452861","E06000008",19533,"102","12","40","18","6457","6.65"
"Y02657","Bentham Road Health Centre","BB2 4QD","53.730584","-2.50627","E06000008",8338,"24","2","12","6","2978","5.62"
"P81709","Roman Road Health Centre","BB2 3UY","53.728431","-2.472202","E06000008",6019,"20","2","16","4","3131","2.93"
"P81058","St Georges Surgery","BB2 3HS","53.738511","-2.475711","E06000008",10127,"32","6","20","6","3598","9.92"
"P81022","Witton Medical Centre","BB2 2SU","53.740232","-2.507553","E06000008",10898,"26","0","6","8","3174","3.66"
"P81061","Redlam Surgery","BB2 1UW","53.742584","-2.503837","E06000008",4431,"10","0","8","4","1700","5.07"
"P81140","Darwen Healthlink","BB3 1PY","53.695744","-2.471427","E06000008",15474,"46","10","18","10","5101","5.02"
"P81721","Hollins Grove Surgery","BB3 1ET","53.705346","-2.477472","E06000008",2503,"6","0","2","2","1058","2.63"
"P81633","Spring-Fenisco Healthlink","BB3 1BZ","53.691098","-2.46668","E06000008",3774,"14","0","12","2","1332","5.09"
"P81051","Darwen Healthcare","BB3 1PY","53.695744","-2.471427","E06000008",14418,"62","10","32","14","5887","5.73"
"P81704","Blakewater Healthcare","BB1 9SR","53.76497","-2.473916","E06000008",11062,"44","4","10","6","4612","4.70"
"P81155","Brownhill Surgery","BB1 9BA","53.775276","-2.479328","E06000008",6094,"18","2","10","8","2753","4.58"
"P81074","Highfield Surgery","FY4 1TJ","53.781401","-3.047383","E06000009",13560,"64","16","28","14","8906","5.55"
"P81081","Arnold Medical Centre","FY4 2EF","53.78968","-3.038026","E06000009",6134,"25","8","10","6","3038","6.58"
"Y05788",NULL,"FY1 9NP","53.818696","-3.051848","E06000009",571,"0","0","0","0","0",NULL
"P81681","North Shore Surgery","FY2 0JG","53.849555","-3.033503","E06000009",13770,"45","11","20","20","5777","6.60"
"P81092","The Crescent Surgery","FY5 3LF","53.875111","-3.042545","E06000009",7667,"26","12","8","10","3969","5.13"
"P81714","Abbey Dale Medical Centre","FY4 5AU","53.788194","-3.02434","E06000009",5816,"28","4","8","4","2333","8.10"
"P81016","Waterloo Medical Centre","FY4 3AD","53.799804","-3.041431","E06000009",12387,"28","2","16","6","5160","5.69"
"P81073","Cleveleys Group Practice","FY5 3LF","53.875111","-3.042545","E06000009",13169,"46","8","14","18","6511","7.76"
"P81063","St Pauls Medical Centre","FY1 2HH","53.828701","-3.053197","E06000009",11098,"40","8","22","12","4623","9.96"
"P81042","Adelaide Street Surgery","FY1 3JG","53.820839","-3.043658","E06000009",15227,"70","14","16","18","6876","6.69"
"P81072","Glenroyd Medical Centre","FY2 0JG","53.849555","-3.033503","E06000009",14057,"40","16","14","26","4916","9.07"
"P81043","South King Street Medical Centre","FY1 4NF","53.816775","-3.047855","E06000009",6717,"40","6","10","6","2395","7.33"
"P81066","Layton Medical Centre","FY3 7EN","53.827425","-3.027291","E06000009",8301,"26","4","16","10","3415","7.59"
"P81172","Newton Drive Health Centre","FY3 8NX","53.825242","-3.0144","E06000009",12290,"36","6","12","8","5315","6.47"
"P81054","Marton Medical Practice","FY3 9ES","53.812843","-3.034524","E06000009",9389,"30","8","8","10","3452","7.27"
"P81159","Stonyhill Medical Practice","FY4 1TJ","53.781401","-3.047383","E06000009",12209,"48","14","26","16","7014","7.29"
"P81115","Bloomfield Medical Centre","FY1 6JW","53.804417","-3.043644","E06000009",16947,"68","22","28","16","8892","5.74"
"B81018","Orchard 2000 Group","HU6 9BS","53.786372","-0.370022","E06000010",9306,"22","4","6","14","3932","6.96"
"B81035","The Avenues Medical Centre","HU5 3TJ","53.755632","-0.374215","E06000010",7124,"28","6","10","4","2605","10.66"
"B81020","The Sutton Manor Surgery","HU7 4PT","53.785759","-0.315294","E06000010",8436,"40","8","20","4","5490","10.81"
"B81112","James Alexander Family Practice","HU7 4DW","53.787408","-0.32136","E06000010",13124,"64","22","10","32","10073","5.70"
"B81119","Goodheart Surgery","HU7 4DW","53.787408","-0.32136","E06000010",6412,"22","2","4","2","1923","8.07"
"B81616","Dr Gt Hendow'S Practice","HU7 4DW","53.787408","-0.32136","E06000010",2929,"12","4","2","4","846","7.58"
"B81085","Haxby Group Hull","HU7 3JQ","53.802041","-0.3529","E06000010",38427,"2","0","2","0","10321","8.49"
"B81046","The Bridge Group Practice","HU6 9BX","53.787555","-0.375759","E06000010",8861,"34","6","10","10","5444","6.77"
"B81631","Drs Raut And Thoufeeq","HU7 5DD","53.805594","-0.326542","E06000010",4665,"26","2","2","2","1193","7.50"
"B81075","Hastings Medical Centre","HU5 5BE","53.749841","-0.393427","E06000010",3741,"16","2","10","6","1745","5.52"
"B81645","East Park Practice","HU1 3SA","53.746221","-0.342095","E06000010",2306,"10","4","0","4","0",NULL
"B81032","Wilberforce Surgery","HU1 3SA","53.746221","-0.342095","E06000010",5638,"12","0","4","2","1425","9.22"
"B81017","The Quays Medical Practice","HU1 3SA","53.746221","-0.342095","E06000010",17031,"66","16","20","26","7160","12.11"
"B81635","Laurbel Surgery","HU11 4AR","53.778463","-0.257019","E06000010",3603,"16","2","4","2","1267","13.52"
"B81047","Wolseley Medical Centre","HU3 1DS","53.746195","-0.355069","E06000010",7530,"32","6","16","4","2617","10.71"
"B81027","St Andrews Surgery","HU3 4BB","53.735566","-0.361958","E06000010",7907,"24","4","14","4","2834","6.55"
"B81011","Kingston Health (Hull)","HU3 5QE","53.742011","-0.384658","E06000010",10502,"30","8","14","4","3042","10.52"
"B81038","The Oaks Medical Centre","HU4 6RF","53.731939","-0.395095","E06000010",8200,"32","4","12","6","2525","4.86"
"B81104","Campus Health Centre","HU5 2EG","53.768793","-0.368366","E06000010",7559,"14","4","6","10","2183","9.56"
"B81048","Modality Partnership (Hull)","HU5 2NT","53.764987","-0.356255","E06000010",56483,"168","66","66","36","23805","4.68"
"B81054","Clifton House Medical Centre","HU5 2ST","53.759495","-0.349704","E06000010",7989,"0","6","8","4","3217","3.72"
"B81052","Princes Medical Centre","HU5 3QA","53.753343","-0.359925","E06000010",8376,"24","2","4","6","4502","5.06"
"B81040","Dr Jad Weir & Partners","HU9 5HH","53.755985","-0.265989","E06000010",15788,"62","4","18","14","5221","10.71"
"B81097","Delta Healthcare","HU9 3JA","53.764281","-0.292835","E06000010",2631,"12","0","2","2","798","7.17"
"B81074","City Health Practice Ltd","HU9 2LR","53.756542","-0.306816","E06000010",12126,"14","0","4","4","4525","11.49"
"B81008","Hull Family Practice","HU9 2LJ","53.754966","-0.30901","E06000010",38010,"106","12","40","24","23220","5.66"
"B81101","Greengates Medical Group","HU17 0HB","53.844343","-0.418494","E06000011",23612,"90","18","34","22","8372","10.57"
"B81037","The Park Surgery","YO25 6EB","54.009291","-0.439379","E06000011",14523,"44","34","28","10","6186","8.03"
"B81100","Dr Ac Milner","HU10 6QJ","53.748495","-0.434335","E06000011",4222,"20","2","2","4","1504","13.14"
"B81024","Willerby And Swanland Surgery","HU10 7JR","53.74009","-0.433515","E06000011",10915,"38","2","12","12","3199","8.33"
"B81619","Park View Surgery","HU13 9AJ","53.72979","-0.435833","E06000011",2661,"10","2","2","2","2212","7.28"
"B81666","Dr Mitchell","HU14 3DB","53.72075","-0.503581","E06000011",2558,"14","0","4","4","808","4.28"
"B81061","The Ridings Medical Group","HU15 2JG","53.765218","-0.622066","E06000011",47893,"194","62","78","26","25295","9.03"
"B81041","Gilberdyke Health Centre","HU15 2UL","53.754518","-0.731667","E06000011",6203,"22","12","16","10","5238","7.70"
"B81653","King Street Medical Centre","HU16 5QJ","53.784198","-0.413744","E06000011",7512,"30","8","12","12","3653","11.29"
"B81092","The Medical Centre, Driffield","YO25 6UH","54.006257","-0.439676","E06000011",12386,"64","6","18","10","5891","5.37"
"B81034","Leven & Beeford Medical Practice","HU17 5NL","53.890915","-0.312863","E06000011",11478,"74","12","16","14","6157","4.53"
"B81042","Manor Road Surgery","HU17 7BZ","53.845274","-0.432565","E06000011",13772,"40","18","18","8","5169","14.57"
"B81029","The Snaith And Rawcliffe Medical Group","DN14 9DY","53.689286","-1.024414","E06000011",11820,"44","14","26","10","5739","7.84"
"B81082","North Beverley Medical Centre","HU17 7JY","53.857996","-0.439008","E06000011",6567,"20","4","8","2","1939","9.34"
"B81036","Pocklington Group Practice","YO42 2BS","53.92375","-0.780688","E06000011",18860,"67","22","26","12","11832","9.12"
"B81009","Market Weighton Group Practice","YO43 3FF","53.864903","-0.674786","E06000011",8996,"36","14","12","8","3203","13.28"
"B81006","Humber Primary Care","YO15 2QW","54.085947","-0.186823","E06000011",12260,"54","20","22","18","6753","9.82"
"B81088","Howden Medical Practice","DN14 7DD","53.744175","-0.869404","E06000011",8185,"32","6","14","8","5372","7.54"
"B81068","Bartholomew Medical Group","DN14 6RU","53.714839","-0.875479","E06000011",17707,"76","8","22","16","7950","4.71"
"B81013","Montague Medical Practice","DN14 6JD","53.707031","-0.872899","E06000011",8912,"32","2","0","6","3325","3.76"
"B81051","Old Fire Station Surgery","HU17 8JW","53.840868","-0.435177","E06000011",10546,"40","4","20","10","3994","8.10"
"B81004","Eastgate Medical Group, Hornsea","HU18 1LP","53.915277","-0.16825","E06000011",12397,"58","28","22","12","7127","6.07"
"B81025","Holderness Health","HU19 2PZ","53.728739","0.034928","E06000011",33755,"148","78","70","32","23710","7.74"
"B81069","Drs Reddy And Nunn","YO16 4LZ","54.084715","-0.201064","E06000011",29544,"104","26","26","26","15526","5.91"
"B81003","Beacon Medical","DN35 8EB","53.557","-0.037662","E06000012",12829,"34","8","10","18","9475","2.96"
"Y02684","Quayside Medical Centre","DN32 7DL","53.572249","-0.068703","E06000012",3785,"8","6","4","8","1314","2.64"
"B81091","Littlefield Surgery","DN34 4GB","53.564436","-0.112579","E06000012",5304,"24","4","16","8","4546","3.28"
"Y01948","Open Door","DN32 7DL","53.572249","-0.068703","E06000012",2509,"14","8","2","8","2058","6.78"
"B81697","Dr P Suresh Babu","DN32 9SW","53.557292","-0.066189","E06000012",2873,"12","2","2","2","1276","5.95"
"B81030","Slc Medical Group","DN33 3JF","53.536399","-0.094601","E06000012",24590,"86","12","26","22","15294","7.75"
"B81016","Pelham Medical Group","DN31 1QZ","53.563205","-0.091675","E06000012",10189,"40","14","16","14","6197","3.54"
"B81039","The Roxton Practice","DN40 1JW","53.618771","-0.205325","E06000012",34776,"140","98","62","36","17787","6.45"
"B81665","Healing Partnership","DN41 7JB","53.577708","-0.171864","E06000012",2379,"18","2","2","2","1963","5.74"
"B81663","Core Care Family Practice","DN31 2BH","53.567843","-0.108808","E06000012",2926,"10","2","4","0","1468","4.19"
"B81015","Clee Medical Centre","DN35 7XE","53.566223","-0.041433","E06000012",16978,"62","4","24","16","11231","5.73"
"B81108","Dr A Sinha","DN31 2BH","53.567843","-0.108808","E06000012",4543,"12","4","4","2","1971","5.65"
"B81642","Dr Oz Qureshi","DN35 0LN","53.548564","-0.034732","E06000012",4331,"18","2","4","4","3162","7.35"
"B81656","Raj Medical Centre","DN34 5LP","53.550655","-0.113968","E06000012",6785,"22","6","4","8","3163","5.80"
"B81655","Greenlands Surgery","DN31 3AE","53.573306","-0.058663","E06000012",3216,"14","0","4","0","1849","3.98"
"B81087","Birkwood Medical Centre","DN34 5DX","53.557415","-0.105207","E06000012",7866,"18","2","8","2","4812","5.82"
"B81031","Woodfield Medical","DN34 4GB","53.564436","-0.112579","E06000012",21164,"68","18","38","10","11147","3.98"
"B81606","Stirling Medical Centre (Mathews)","DN31 3AE","53.573306","-0.058663","E06000012",4369,"6","0","2","2","2337","3.49"
"B81012","Dr Ap Kumar","DN31 3AE","53.573306","-0.058663","E06000012",3270,"12","2","2","2","1765","5.40"
"C83033","Hibaldstow Medical Practice","DN20 9ED","53.510462","-0.525672","E06000013",3759,"14","22","4","4","1638","8.98"
"B81063","Bridge Street Surgery","DN20 8NT","53.551684","-0.495121","E06000013",7321,"28","8","12","4","3524","9.25"
"B81099","The Kirton Lindsey And Scotter Surgery","DN21 4PQ","53.474089","-0.594073","E06000013",10617,"50","12","20","10","5361","7.72"
